,Name,Alignment,Gender,EyeColor,Race,HairColor,Height,Weight,characterID,comics_count
38,Clea,good,-,-,-,White,-99.0,-99.0,1009239,85
39,Cloak,good,Male,brown,-,black,226.0,70.0,1009241,83
40,Colossus,good,Male,silver,Mutant,Black,226.0,225.0,1009243,650
41,Corsair,good,Male,brown,-,Brown,191.0,79.0,1009247,24
42,Cottonmouth,bad,Male,brown,Human,Black,183.0,99.0,1011362,1
43,Crimson Dynamo,good,Male,brown,-,No Hair,180.0,104.0,1009251,34
44,Crystal,good,Female,green,Inhuman,Red,168.0,50.0,1009255,110
45,Cyclops,good,Male,brown,Mutant,Brown,191.0,88.0,1009257,893
46,Cypher,good,-,blue,-,Blond,175.0,68.0,1011385,18
47,Dagger,good,Female,blue,-,Blond,165.0,52.0,1009258,73
48,Daredevil,good,Male,blue,Human,Red,183.0,90.0,1009262,1014
49,Darkhawk,good,Male,brown,Human,Brown,185.0,81.0,1011020,28
50,Darkstar,good,Female,brown,Mutant,Blond,168.0,56.0,1009266,22
51,Dazzler,good,Female,blue,Mutant,Blond,173.0,52.0,1009267,192
52,Deadpool,neutral,Male,brown,Mutant,No Hair,188.0,95.0,1009268,709
53,Deathlok,good,Male,brown,Cyborg,Grey,193.0,178.0,1010890,89
54,Demogoblin,bad,Male,red,Demon,No Hair,185.0,95.0,1011071,6
55,Doc Samson,good,Male,blue,Human / Radiation,Green,198.0,171.0,1009275,63
56,Doctor Doom,bad,Male,brown,Human,Brown,201.0,187.0,1009281,331
57,Doctor Octopus,bad,Male,brown,Human,Brown,175.0,110.0,1009276,129
58,Doctor Strange,good,Male,grey,Human,Black,188.0,81.0,1009282,692
59,Domino,good,Female,blue,Human,Black,173.0,54.0,1009277,238
60,Dormammu,bad,Male,yellow,-,No Hair,185.0,-99.0,1009280,55
61,Ego,bad,-,-,-,-,-99.0,-99.0,1011060,15
62,Electro,bad,Male,blue,Human,Auburn,180.0,74.0,1009287,84
63,Elektra,good,Female,blue,Human,Black,175.0,59.0,1009288,163
64,Emma Frost,good,Female,blue,-,Blond,178.0,65.0,1009310,358
65,Exodus,bad,Male,blue,Mutant,Black,183.0,88.0,1009295,25
66,Fabian Cortez,bad,-,blue,-,Brown,196.0,96.0,1009248,3
67,Falcon,good,Male,brown,Human,Black,188.0,108.0,1009297,177
68,Feral,good,-,yellow (without irises),-,Orange / White,175.0,50.0,1011213,6
69,Fin Fang Foom,good,Male,red,Kakarantharaian,No Hair,975.0,18.0,1009303,26
70,Firebird,good,Female,brown,-,Black,165.0,56.0,1010868,28
71,Firelord,good,-,white,-,Yellow,193.0,99.0,1009305,36
72,Firestar,good,Female,green,Mutant,Red,173.0,56.0,1009306,94
73,Forge,good,-,brown,-,Black,183.0,81.0,1009309,141
74,Franklin Richards,good,Male,blue,Mutant,Blond,142.0,45.0,1009539,130
75,Franklin Storm,good,-,blue,-,Grey,188.0,92.0,1010980,6
76,Galactus,neutral,Male,black,Cosmic Entity,Black,876.0,16.0,1009312,189
77,Gambit,good,Male,red,Mutant,Brown,185.0,81.0,1009313,423
78,Gamora,good,Female,yellow,Zen-Whoberian,Black,183.0,77.0,1010763,48
79,Genesis,good,Male,blue,-,Blond,185.0,86.0,1009317,16
80,Goblin Queen,bad,Female,green,-,Red,168.0,50.0,1009322,7
81,Gravity,good,Male,blue,Human,Brown,178.0,79.0,1010702,24
82,Groot,good,Male,yellow,Flora Colossus,-,701.0,4.0,1010743,33
83,Guardian,good,Male,brown,Human,Black,-99.0,-99.0,1009330,33
84,Havok,good,Male,blue,Mutant,Blond,183.0,79.0,1009337,284
85,Hawkeye,good,Male,blue,Human,Blond,191.0,104.0,1009338,534
86,Hercules,good,Male,blue,Demi-God,Brown,196.0,146.0,1009343,206
87,Hope Summers,good,Female,green,-,Red,168.0,48.0,1011428,97
88,Hulk,good,Male,green,Human / Radiation,Green,244.0,630.0,1009351,1457
89,Human Torch,good,Male,blue,Human / Radiation,Blond,178.0,77.0,1009356,1118
90,Husk,good,Female,blue,Mutant,Blond,170.0,58.0,1009357,35
91,Hydro-Man,bad,Male,brown,-,Brown,188.0,119.0,1009360,18
92,Iceman,good,Male,brown,Mutant,Brown,173.0,65.0,1009362,494
93,Ink,good,Male,blue,Mutant,No Hair,180.0,81.0,1011293,2
94,Invisible Woman,good,Female,blue,Human / Radiation,Blond,168.0,54.0,1009366,677
95,Iron Man,good,Male,blue,Human,Black,198.0,191.0,1009368,2388
96,Jean Grey,good,Female,green,Mutant,Red,168.0,52.0,1009327,192
97,Jean Grey,good,Female,green,Mutant,Red,168.0,52.0,1009496,47
98,Jessica Jones,good,Female,brown,Human,Brown,170.0,56.0,1009378,125
99,Jigsaw,bad,Male,blue,-,Black,188.0,113.0,1009374,15
100,John Wraith,good,Male,brown,-,Black,183.0,88.0,1009721,2
101,Jubilee,good,Female,red,Mutant,Black,165.0,52.0,1009381,202
102,Juggernaut,neutral,Male,blue,Human,Red,287.0,855.0,1009382,170
103,Justice,good,Male,hazel,Human,Brown,178.0,81.0,1010760,70
104,Kang,bad,Male,brown,-,Brown,191.0,104.0,1009384,107
105,Kingpin,bad,Male,blue,Human,No Hair,201.0,203.0,1009389,218
106,Klaw,bad,Male,red,Human,No Hair,188.0,97.0,1009390,46
107,Kraven the Hunter,bad,Male,brown,Human,Black,183.0,106.0,1009391,53
108,Lady Bullseye,bad,Female,-,-,Black,-99.0,-99.0,1011327,23
109,Lady Deathstrike,bad,Female,brown,Cyborg,Black,175.0,58.0,1009393,81
110,Leader,bad,Male,green,-,No Hair,178.0,63.0,1009398,33
111,Leech,good,Male,-,-,-,-99.0,-99.0,1011092,4
112,Legion,good,Male,green / blue,Mutant,Black,175.0,59.0,1009399,86
113,Living Tribunal,neutral,-,blue,Cosmic Entity,No Hair,-99.0,-99.0,1011059,6
114,Lizard,bad,Male,red,Human,No Hair,203.0,230.0,1009404,76
115,Loki,bad,Male,green,Asgardian,Black,193.0,236.0,1009407,319
116,Longshot,good,Male,blue,Human,Blond,188.0,36.0,1009408,86
117,Luke Cage,good,Male,brown,Human,Black,198.0,191.0,1009215,306
118,Lyja,good,Female,green,-,Green,-99.0,-99.0,1010896,27
119,Machine Man,good,-,red,-,Black,183.0,383.0,1010805,51
120,Magneto,bad,Male,grey,Mutant,White,188.0,86.0,1009417,390
121,Man-Thing,good,Male,red,-,No Hair,213.0,225.0,1009420,129
122,Man-Wolf,good,Male,brown,-,Auburn,188.0,90.0,1010811,18
123,Mandarin,bad,Male,blue,Human,White,188.0,97.0,1009421,76
124,Mantis,good,Female,green,Human-Kree,Black,168.0,52.0,1011026,45
125,Medusa,good,Female,green,Inhuman,Red,180.0,59.0,1009438,140
126,Meltdown,good,Female,blue,-,Blond,165.0,54.0,1009439,70
127,Mephisto,bad,Male,white,-,Black,198.0,140.0,1009440,100
128,Meteorite,good,Female,-,-,-,-99.0,-99.0,1010361,1
129,Mimic,good,Male,brown,-,Brown,188.0,101.0,1009445,39
130,Mister Sinister,bad,Male,red,Human / Altered,Black,196.0,128.0,1009447,84
131,Mockingbird,good,Female,blue,Human,Blond,175.0,61.0,1011220,80
132,Molten Man,bad,Male,gold,-,Gold,196.0,248.0,1011370,5
133,Moon Knight,good,Male,brown,Human,Brown,188.0,101.0,1009452,200
134,Moonstone,bad,Female,blue,-,Blond,180.0,59.0,1010362,21
135,Morlun,bad,Male,white / red,-,Black,188.0,79.0,1011088,2
136,Morph,good,Male,white,-,No Hair,178.0,79.0,1009456,24
137,Multiple Man,good,Male,blue,-,Brown,180.0,70.0,1011056,34
138,Mysterio,bad,Male,brown,Human,No Hair,180.0,79.0,1009464,63
139,Mystique,bad,Female,yellow (without irises),Mutant,Red / Orange,178.0,54.0,1009465,175
140,Namor,good,Male,-,-,-,-99.0,-99.0,1009466,234
141,Namor,good,Male,grey,Atlantean,Black,188.0,125.0,1009466,234
142,Namora,good,Female,blue,-,Blond,180.0,85.0,1009468,46
143,Namorita,good,Female,blue,-,Blond,168.0,101.0,1009469,50
144,Nebula,bad,Female,blue,Luphomoid,No Hair,185.0,83.0,1010365,22
145,Nick Fury,good,Male,brown,Human,Brown / White,185.0,99.0,1009471,463
146,Nightcrawler,good,Male,yellow,-,Indigo,175.0,88.0,1009472,556
147,Northstar,good,Male,blue,-,Black,180.0,83.0,1009476,85
148,Nova,good,Male,brown,Human,Brown,185.0,86.0,1009477,156
149,Nova,good,Female,white,Human / Cosmic,Red,163.0,59.0,1009477,156
150,Odin,good,Male,blue,God / Eternal,White,206.0,293.0,1009480,198
151,Omega Red,bad,Male,red,-,Blond,211.0,191.0,1009482,46
152,Onslaught,bad,Male,red,Mutant,No Hair,305.0,405.0,1009483,48
153,Polaris,good,Female,green,Mutant,Green,170.0,52.0,1009499,243
154,Professor X,good,Male,blue,Mutant,No Hair,183.0,86.0,1009504,398
155,Psylocke,good,Female,blue,Mutant,Purple,180.0,70.0,1009512,369
156,Punisher,good,Male,blue,Human,Black,183.0,90.0,1009515,548
157,Purple Man,bad,Male,purple,Human,Purple,180.0,74.0,1009520,12
158,Pyro,bad,Male,blue,-,Blond,178.0,68.0,1009522,43
159,Quicksilver,good,Male,blue,Mutant,Silver,183.0,79.0,1009524,336
160,Red Hulk,neutral,Male,yellow,Human / Radiation,Black,213.0,630.0,1011360,73
161,Red Skull,bad,Male,blue,-,No Hair,188.0,108.0,1009535,161
162,Rhino,bad,Male,brown,Human / Radiation,Brown,196.0,320.0,1009537,53
163,Rocket Raccoon,good,Male,brown,Animal,Brown,122.0,25.0,1010744,57
164,Rogue,good,Female,green,-,Brown / White,173.0,54.0,1009546,561
165,Sabretooth,bad,Male,amber,Mutant,Blond,198.0,171.0,1009554,266
166,Sage,good,Female,blue,-,Black,170.0,61.0,1009555,17
167,Sandman,neutral,Male,brown,Human,Brown,185.0,203.0,1009558,101
168,Scarlet Witch,bad,Female,blue,Mutant,Brown,170.0,59.0,1009562,460
169,Sebastian Shaw,bad,Male,-,Mutant,-,-99.0,-99.0,1009581,30
170,Shadow King,good,-,red,-,-,185.0,149.0,1009573,24
171,Shadowcat,good,Female,hazel,Mutant,Brown,168.0,50.0,1009574,13
172,Shang-Chi,good,Male,brown,Human,Black,178.0,79.0,1009577,170
173,Shatterstar,good,Male,brown,-,Red,191.0,88.0,1009580,128
174,Shriek,good,Female,yellow / blue,-,Black,173.0,52.0,1009587,8
175,Sif,good,Female,blue,Asgardian,Black,188.0,191.0,1009588,166
176,Silver Surfer,good,Male,white,Alien,No Hair,193.0,101.0,1009592,465
177,Silverclaw,good,Female,brown,-,Black,157.0,50.0,1010864,21
178,Skaar,good,Male,green,-,Black,198.0,180.0,1011223,35
179,Snowbird,good,Female,white,-,Blond,178.0,49.0,1009606,38
180,Songbird,good,Female,green,-,Red / White,165.0,65.0,1010693,35
181,Spider-Man,good,Male,hazel,Human,Brown,178.0,74.0,1009610,3199
182,Spider-Man,good,-,red,Human,Brown,178.0,77.0,1009610,3199
183,Spider-Man,good,Male,brown,Human,Black,157.0,56.0,1009610,3199
184,Stacy X,good,Female,-,-,-,-99.0,-99.0,1009618,36
185,Stardust,good,Male,-,-,-,-99.0,-99.0,1010764,1
186,Storm,good,Female,blue,Mutant,White,180.0,57.0,1009629,759
187,Sunspot,good,Male,brown,Mutant,black,173.0,77.0,1009638,182
188,Swarm,bad,Male,yellow,Mutant,No Hair,196.0,47.0,1011075,2
189,Synch,good,Male,brown,-,Black,180.0,74.0,1009643,15
190,Taskmaster,bad,Male,brown,Human,Brown,188.0,99.0,1009648,76
191,Tempest,good,Female,brown,-,Black,163.0,54.0,1009650,14
192,Thanos,bad,Male,red,Eternal,No Hair,201.0,443.0,1009652,218
193,Thing,good,Male,blue,Human / Radiation,No Hair,183.0,225.0,1009662,810
194,Thor,good,Male,blue,Asgardian,Blond,198.0,288.0,1009664,1589
195,Thor Girl,good,Female,blue,Asgardian,Blond,175.0,143.0,1010820,16
196,Thundra,good,Female,green,-,Red,218.0,158.0,1011304,12
197,Tiger Shark,bad,Male,grey,Human,No Hair,185.0,203.0,1009669,19
198,Tinkerer,bad,Male,brown,-,White,163.0,54.0,1011345,14
199,Toad,neutral,Male,black,Mutant,Brown,175.0,76.0,1009673,49
200,Toxin,good,Male,blue,Symbiote,Brown,188.0,97.0,1009676,8
201,Toxin,good,Male,black,Symbiote,Blond,191.0,117.0,1009676,8
202,Triton,good,Male,green,Inhuman,No Hair,188.0,86.0,1010335,57
203,Ultron,bad,Male,red,Android,-,206.0,331.0,1009685,105
204,Vindicator,good,Female,green,Human,Red,165.0,54.0,1009695,27
205,Vindicator,good,Male,-,-,-,-99.0,-99.0,1009695,27
206,Vision,good,Male,gold,Android,No Hair,191.0,135.0,1009697,480
207,Warbird,good,Female,blue,-,Blond,180.0,54.0,1009703,29
208,Warpath,good,Male,brown,Mutant,Black,218.0,158.0,1009705,210
209,Wasp,good,Female,blue,Human,Auburn,163.0,50.0,1009707,364
210,Winter Soldier,good,Male,brown,Human,Brown,175.0,117.0,1010740,187
211,Wolfsbane,good,Female,green,-,Auburn,366.0,473.0,1009717,121
212,Wolverine,good,Male,blue,Mutant,Black,160.0,135.0,1009718,2163
213,Wonder Man,good,Male,red,-,Black,188.0,171.0,1009719,225
214,X-23,good,Female,green,Mutant / Clone,Black,155.0,50.0,1009722,176
215,X-Man,good,Male,blue,-,Brown,175.0,61.0,1009725,105
216,Yellow Claw,bad,Male,blue,-,No Hair,188.0,95.0,1009736,22
